type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
1,2022-07-18 02:14:26+0000,1287,1.8382351,0.17803097,4236.0,0.30378056,285.0
1,2022-07-17 03:20:43+0000,1157,0.65445024,0.20391518,4149.0,0.27859944,269.0
1,2022-07-16 04:24:16+0000,1146,1.8395742,0.396,4233.0,0.479,191.0
1,2022-07-15 02:22:11+0000,1155,3.1545742,0.15124017,4280.0,0.26961374,266.0
1,2022-07-14 02:12:52+0000,1117,1.2755102,0.18456994,4153.0,0.2686912,236.0
1,2022-07-13 02:14:39+0000,1218,2.5380712,0.21065935,4153.0,0.29323986,272.0
1,2022-07-12 02:20:10+0000,1154,3.6630037,0.14334863,4197.0,0.27492258,273.0
1,2022-07-11 02:11:39+0000,1269,2.9761906,0.16880487,4233.0,0.29973292,282.0
1,2022-07-10 02:15:25+0000,1236,1.8382351,0.17370158,4242.0,0.29136324,277.0
1,2022-07-09 02:52:13+0000,1342,9.259259,0.2334812,4202.0,0.3190601,289.0
9,2022-07-08 15:03:24+0000,3414,3.0769231,0.09876543,17073.0,0.19995432,811.0
1,2022-07-08 02:50:57+0000,1404,5.5248623,0.20218357,4215.0,0.3328033,288.0
9,2022-07-07 15:31:54+0000,3244,2.0408163,0.12325897,10282.0,0.31538433,430.0
1,2022-07-07 02:51:40+0000,1767,1.55521,0.21640338,5197.0,0.3397475,362.0
1,2022-07-06 02:51:37+0000,1537,2.4752474,0.23518345,4408.0,0.34840557,304.0
1,2022-07-05 02:57:22+0000,1887,3.436426,0.23685457,5189.0,0.36343375,345.0
9,2022-07-04 14:57:54+0000,2430,1.1299435,0.13310263,10226.0,0.23752981,626.0
1,2022-07-04 02:47:55+0000,1515,2.415459,0.22967386,4082.0,0.37086964,272.0
1,2022-07-03 02:54:06+0000,1506,3.558719,0.2522068,4214.0,0.35711026,290.0
1,2022-07-02 02:56:14+0000,1450,1.8796992,0.1943257,4656.0,0.31141195,313.0
1,2022-07-01 01:40:52+0000,1223,2.9850745,0.16917612,4435.0,0.27571732,291.0
1,2022-06-30 02:15:13+0000,1157,1.5337423,0.17479461,4212.0,0.27444223,270.0
1,2022-06-29 02:31:22+0000,1113,2.197802,0.17256255,4108.0,0.27065253,265.0
1,2022-06-28 02:13:03+0000,1169,1.8382351,0.20850709,4273.0,0.27328512,275.0
1,2022-06-27 02:11:41+0000,1166,1.8382351,0.18744142,4149.0,0.2807862,269.0
1,2022-06-26 02:16:30+0000,1271,1.8382351,0.13917884,4184.0,0.303528,270.0
1,2022-06-25 02:35:24+0000,1202,2.2421525,0.19500782,4188.0,0.2869861,277.0
1,2022-06-24 02:17:26+0000,1237,0.4482295,0.109397225,4178.0,0.29604208,279.0
1,2022-06-23 02:24:44+0000,1272,2.4875622,0.16992353,4160.0,0.3054886,285.0
1,2022-06-22 02:47:09+0000,1242,1.0471205,0.08338197,4290.0,0.28949997,267.0
